LABEL,ABBR,CAP,LOC,POS,POS+1,POS-1,PREF,SUFF,WORD,WORD+1,WORD-1,TAG,TAG+1,TAG-1
I-PURCH,0,1,0,PROPN,VERB,PHIPOS,0,0,PacifiCorp,said,PHI,NNP,VBD,PHITAG
-,0,0,0,VERB,PRON,PROPN,0,0,said,it,PacifiCorp,VBD,PRP,NNP
-,0,0,0,PRON,VERB,VERB,0,0,it,acquired,said,PRP,VBD,VBD
-,0,0,0,VERB,PROPN,PRON,0,0,acquired,ThomasNationwide,it,VBD,NNP,PRP
-,0,1,0,PROPN,PROPN,VERB,0,0,ThomasNationwide,Computer,acquired,NNP,NNP,VBD
I-AQ,0,1,0,PROPN,PROPN,PROPN,0,1,Computer,Corp,ThomasNationwide,NNP,NNP,NNP
I-AQB,0,1,0,PROPN,ADP,PROPN,0,0,Corp,for,Computer,NNP,IN,NNP
-,0,0,0,ADP,NUM,PROPN,0,0,for,25,Corp,IN,CD,NNP
-,0,0,0,NUM,NOUN,ADP,0,0,25,mln,for,CD,NN,IN
-,0,0,0,NOUN,NOUN,NUM,0,0,mln,dlrs,25,NN,NN,CD
-,0,0,0,NOUN,ADP,NOUN,0,0,dlrs,in,mln,NN,IN,NN
-,0,0,0,ADP,NOUN,NOUN,0,0,in,cash,dlrs,IN,NN,NN
-,0,0,0,NOUN,CCONJ,ADP,0,0,cash,and,in,NN,CC,IN
I-AQB,0,0,0,CCONJ,NUM,NOUN,0,0,and,15,cash,CC,CD,NN
-,0,0,0,NUM,NOUN,CCONJ,0,0,15,mlndlrs,and,CD,NN,CC
-,0,0,0,NOUN,ADP,NUM,0,0,mlndlrs,in,15,NN,IN,CD
-,0,0,0,ADP,VERB,NOUN,0,0,in,deferred,mlndlrs,IN,VBN,NN
-,0,0,0,VERB,NOUN,ADP,0,0,deferred,consideration,in,VBN,NN,IN
-,0,0,0,NOUN,VERB,VERB,0,0,consideration,depending,deferred,NN,VBG,VBN
-,0,0,0,VERB,ADP,NOUN,0,0,depending,on,consideration,VBG,IN,NN
-,0,0,0,ADP,DET,VERB,0,0,on,the,depending,IN,DT,VBG
-,0,0,0,DET,NOUN,ADP,0,0,the,futureperformance,on,DT,NN,IN
-,0,0,0,NOUN,ADP,DET,0,0,futureperformance,of,the,NN,IN,DT
-,0,0,0,ADP,DET,NOUN,0,0,of,the,futureperformance,IN,DT,NN
-,0,0,0,DET,NOUN,ADP,0,0,the,company.,of,DT,NN,IN
-,0,0,0,NOUN,OMEGAPOS,DET,0,0,company.,OMEGA,the,NN,OMEGATAG,DT
B-AQ,0,1,0,PROPN,PROPN,PHIPOS,0,0,Thomas,Nationwide,PHI,NNP,NNP,PHITAG
I-AQ,0,1,0,PROPN,VERB,PROPN,0,0,Nationwide,leases,Thomas,NNP,VBZ,NNP
-,0,0,0,VERB,CCONJ,PROPN,0,0,leases,and,Nationwide,VBZ,CC,NNP
I-AQB,0,0,0,CCONJ,NOUN,VERB,0,0,and,re-markets,leases,CC,NNS,VBZ
-,0,0,0,NOUN,NOUN,CCONJ,0,0,re-markets,new,and,NNS,NNS,CC
B-AQB,0,0,0,NOUN,VERB,NOUN,0,0,new,and,re-markets,NNS,VBZ,NNS
I-AQB,0,0,0,VERB,ADJ,NOUN,0,0,and,usedInternational,new,VBZ,JJ,NNS
-,0,0,0,ADJ,CCONJ,VERB,0,0,usedInternational,Business,and,JJ,CC,VBZ
I-AQB,0,1,0,CCONJ,ADJ,ADJ,0,0,Business,Machines,usedInternational,CC,JJ,JJ
I-AQB,0,1,0,ADJ,PROPN,CCONJ,0,1,Machines,Corp,Business,JJ,NNP,CC
I-AQB,0,1,0,PROPN,PROPN,ADJ,0,0,Corp,"equipment,",Machines,NNP,NNP,JJ
-,0,0,0,PROPN,PROPN,PROPN,0,0,"equipment,",PacifiCorpsaid.,Corp,NNP,NNP,NNP
-,0,1,0,PROPN,OMEGAPOS,PROPN,0,0,PacifiCorpsaid.,OMEGA,"equipment,",NNP,OMEGATAG,NNP
-,0,1,0,PRON,VERB,PHIPOS,0,0,It,said,PHI,PRP,VBD,PHITAG
-,0,0,0,VERB,PROPN,PRON,0,0,said,Thomas,It,VBD,NNP,PRP
B-AQ,0,1,0,PROPN,PROPN,VERB,0,0,Thomas,Nationwide,said,NNP,NNP,VBD
I-AQ,0,1,0,PROPN,AUX,PROPN,0,0,Nationwide,will,Thomas,NNP,MD,NNP
-,0,0,0,AUX,AUX,PROPN,0,0,will,be,Nationwide,MD,VB,NNP
-,0,0,0,AUX,VERB,AUX,0,0,be,combined,will,VB,VBN,MD
-,0,0,0,VERB,ADP,AUX,0,0,combined,with,be,VBN,IN,VB
-,0,0,0,ADP,PRON,VERB,0,0,with,its,combined,IN,PRP$,VBN
-,0,0,0,PRON,PROPN,ADP,0,0,its,SystemsLeasing,with,PRP$,NNP,IN
-,0,1,0,PROPN,PROPN,PRON,0,1,SystemsLeasing,Corp,its,NNP,NNP,PRP$
I-AQB,0,1,0,PROPN,NOUN,PROPN,0,0,Corp,unit,SystemsLeasing,NNP,NN,NNP
-,0,0,0,NOUN,ADP,PROPN,0,0,unit,in,Corp,NN,IN,NNP
-,0,0,0,ADP,PROPN,NOUN,0,0,in,"MacLean,",unit,IN,NNP,NN
-,0,1,0,PROPN,PUNCT,ADP,0,0,"MacLean,",Va.Reuter,in,NNP,",",IN
-,0,1,0,PUNCT,OMEGAPOS,PROPN,0,0,Va.Reuter,OMEGA,"MacLean,",",",OMEGATAG,NNP
I-SELL,0,1,0,PROPN,PROPN,PHIPOS,0,0,Xerox,Corp's,PHI,NNP,NNP,PHITAG
-,0,1,0,PROPN,PART,PROPN,0,0,Corp's,U.K.,Xerox,NNP,POS,NNP
-,1,1,0,PART,PROPN,PROPN,0,0,U.K.,"unit,",Corp's,POS,NNP,NNP
-,0,0,0,PROPN,NOUN,PART,0,0,"unit,",Rank,U.K.,NNP,NN,POS
B-SELL,0,1,0,NOUN,PUNCT,PROPN,0,0,Rank,"XeroxLtd,","unit,",NN,",",NNP
-,0,1,0,PUNCT,PROPN,NOUN,0,0,"XeroxLtd,",said,Rank,",",NNP,NN
-,0,0,0,PROPN,PROPN,PUNCT,0,0,said,it,"XeroxLtd,",NNP,NNP,","
-,0,0,0,PROPN,PUNCT,PROPN,0,0,it,agreed,said,NNP,",",NNP
B-STAT,0,0,0,PUNCT,VERB,PROPN,0,0,agreed,in,it,",",VBD,NNP
I-STAT,0,0,0,VERB,PRON,PUNCT,0,0,in,principle,agreed,VBD,PRP,","
I-STAT,0,0,0,PRON,VERB,VERB,0,0,principle,to,in,PRP,VBD,VBD
-,0,0,0,VERB,ADP,PRON,0,0,to,sell,principle,VBD,IN,PRP
-,0,0,0,ADP,NOUN,VERB,0,0,sell,its,to,IN,NN,VBD
-,0,0,0,NOUN,PART,ADP,0,0,its,South,sell,NN,TO,IN
I-AQL,0,1,0,PART,VERB,NOUN,0,0,South,"Africancompany,",its,TO,VB,NN
-,0,1,0,VERB,PRON,PART,0,0,"Africancompany,",Rank,South,VB,PRP$,TO
B-SELL,0,1,0,PRON,PROPN,VERB,0,0,Rank,Xerox,"Africancompany,",PRP$,NNP,VB
I-SELL,0,1,0,PROPN,PROPN,PRON,0,0,Xerox,South,Rank,NNP,NNP,PRP$
I-AQL,0,1,0,PROPN,PUNCT,PROPN,0,0,South,Africa,Xerox,NNP,",",NNP
I-AQL,0,1,0,PUNCT,PROPN,PROPN,0,0,Africa,Pty,South,",",NNP,NNP
I-AQ,0,1,0,PROPN,PROPN,PUNCT,0,0,Pty,"Ltd,",Africa,NNP,NNP,","
-,0,1,0,PROPN,PROPN,PROPN,0,0,"Ltd,",to,Pty,NNP,NNP,NNP
-,0,0,0,PROPN,PROPN,PROPN,0,0,to,Altron,"Ltd,",NNP,NNP,NNP
B-PURCH,0,1,0,PROPN,PROPN,PROPN,0,0,Altron,Group'sFintech,to,NNP,NNP,NNP
-,0,1,0,PROPN,PROPN,PROPN,0,0,Group'sFintech,unit.,Altron,NNP,NNP,NNP
-,0,0,0,PROPN,OMEGAPOS,PROPN,0,0,unit.,OMEGA,Group'sFintech,NNP,OMEGATAG,NNP
-,0,1,0,NOUN,ADP,PHIPOS,0,0,Terms,of,PHI,NNS,IN,PHITAG
-,0,0,0,ADP,DET,NOUN,0,0,of,the,Terms,IN,DT,NNS
-,0,0,0,DET,NOUN,ADP,0,0,the,deal,of,DT,NN,IN
-,0,0,0,NOUN,AUX,DET,0,0,deal,were,the,NN,VBD,DT
-,0,0,0,AUX,PART,NOUN,0,0,were,not,deal,VBD,RB,NN
-,0,0,0,PART,VERB,AUX,0,0,not,disclosed.,were,RB,VBN,VBD
-,0,0,0,VERB,OMEGAPOS,PART,0,0,disclosed.,OMEGA,not,VBN,OMEGATAG,RB
B-PURCH,0,1,0,PROPN,VERB,PHIPOS,0,0,Altron,said,PHI,NNP,VBD,PHITAG
-,0,0,0,VERB,DET,PROPN,0,0,said,the,Altron,VBD,DT,NNP
-,0,0,0,DET,NOUN,VERB,0,0,the,acquisition,said,DT,NN,VBD
-,0,0,0,NOUN,AUX,DET,0,0,acquisition,was,the,NN,VBD,DT
-,0,0,0,AUX,ADJ,NOUN,0,0,was,key,acquisition,VBD,JJ,NN
-,0,0,0,ADJ,ADP,AUX,0,0,key,to,was,JJ,IN,VBD
-,0,0,0,ADP,VERB,ADJ,0,0,to,making,key,IN,VBG,JJ
-,0,0,0,VERB,PROPN,ADP,0,0,making,Fintech,to,VBG,NNP,IN
-,0,1,0,PROPN,PROPN,VERB,0,0,Fintech,anoffice,making,NNP,NNP,VBG
-,0,0,0,PROPN,NOUN,PROPN,0,0,anoffice,systems,Fintech,NNP,NNS,NNP
-,0,0,0,NOUN,NOUN,PROPN,0,0,systems,company.,anoffice,NNS,NN,NNP
-,0,0,0,NOUN,OMEGAPOS,NOUN,0,0,company.,OMEGA,systems,NN,OMEGATAG,NNS
-,0,1,0,DET,ADJ,PHIPOS,0,0,The,South,PHI,DT,JJ,PHITAG
I-AQL,0,1,0,ADJ,PROPN,DET,0,0,South,African,The,JJ,NNP,DT
I-AQL,0,1,0,PROPN,PROPN,ADJ,0,0,African,Rank,South,NNP,NNP,JJ
B-SELL,0,1,0,PROPN,PROPN,PROPN,0,0,Rank,Xerox,African,NNP,NNP,NNP
I-SELL,0,1,0,PROPN,NOUN,PROPN,0,0,Xerox,unit,Rank,NNP,NN,NNP
-,0,0,0,NOUN,VERB,PROPN,0,0,unit,sells,Xerox,NN,VBZ,NNP
-,0,0,0,VERB,NOUN,NOUN,0,0,sells,copiers,unit,VBZ,NNS,NN
B-AQB,0,0,0,NOUN,NOUN,VERB,0,0,copiers,andduplicators,sells,NNS,NNS,VBZ
-,0,0,0,NOUN,ADP,NOUN,0,0,andduplicators,throughout,copiers,NNS,IN,NNS
-,0,0,0,ADP,PROPN,NOUN,0,0,throughout,South,andduplicators,IN,NNP,NNS
I-AQL,0,1,0,PROPN,PROPN,ADP,0,0,South,Africa,throughout,NNP,NNP,IN
I-AQL,0,1,0,PROPN,CCONJ,PROPN,0,0,Africa,and,South,NNP,CC,NNP
I-AQB,0,0,0,CCONJ,ADP,PROPN,0,0,and,in,Africa,CC,IN,NNP
I-STAT,0,0,0,ADP,PROPN,CCONJ,0,0,in,Namibia,and,IN,NNP,CC
-,0,1,1,PROPN,PUNCT,ADP,0,0,Namibia,(South,in,NNP,-LRB-,IN
-,0,0,0,PUNCT,PROPN,PROPN,0,0,(South,WestAfrica).,Namibia,-LRB-,NNP,NNP
-,0,1,0,PROPN,OMEGAPOS,PUNCT,0,0,WestAfrica).,OMEGA,(South,NNP,OMEGATAG,-LRB-
-,0,1,0,PRON,VERB,PHIPOS,0,0,It,has,PHI,PRP,VBZ,PHITAG
-,0,0,0,VERB,ADV,PRON,0,0,has,over,It,VBZ,RB,PRP
-,0,0,0,ADV,NUM,VERB,0,0,over,800,has,RB,CD,VBZ
-,0,0,0,NUM,NOUN,ADV,0,0,800,"employees,",over,CD,NNS,RB
-,0,0,0,NOUN,PUNCT,NUM,0,0,"employees,",all,800,NNS,",",CD
-,0,0,0,PUNCT,DET,NOUN,0,0,all,of,"employees,",",",DT,NNS
-,0,0,0,DET,ADP,PUNCT,0,0,of,whom,all,DT,IN,","
-,0,0,0,ADP,PRON,DET,0,0,whom,will,of,IN,WP,DT
-,0,0,0,PRON,AUX,ADP,0,0,will,beretained,whom,WP,MD,IN
-,0,0,0,AUX,VERB,PRON,0,0,beretained,by,will,MD,VBN,WP
-,0,0,0,VERB,ADP,AUX,0,0,by,Fintech,beretained,VBN,IN,MD
-,0,1,0,ADP,PROPN,VERB,0,0,Fintech,when,by,IN,NNP,VBN
-,0,0,0,PROPN,ADV,ADP,0,0,when,the,Fintech,NNP,WRB,IN
-,0,0,0,ADV,DET,PROPN,0,0,the,deal,when,WRB,DT,NNP
-,0,0,0,DET,NOUN,ADV,0,0,deal,"closes,",the,DT,NN,WRB
-,0,0,0,NOUN,VERB,DET,0,0,"closes,",Rank,deal,NN,VBZ,DT
B-SELL,0,1,0,VERB,PUNCT,NOUN,0,0,Rank,Xerox,"closes,",VBZ,",",NN
I-SELL,0,1,0,PUNCT,PROPN,VERB,0,0,Xerox,said.,Rank,",",NNP,VBZ
-,0,0,0,PROPN,OMEGAPOS,PUNCT,0,0,said.,OMEGA,Xerox,NNP,OMEGATAG,","
B-STAT,0,1,0,PROPN,PROPN,PHIPOS,0,0,Principal,Neo-Tech,PHI,NNP,NNP,PHITAG
I-STAT,0,1,0,PROPN,PUNCT,PROPN,0,1,Neo-Tech,Inc,Principal,NNP,HYPH,NNP
I-STAT,0,1,0,PUNCT,PROPN,PROPN,0,0,Inc,said,Neo-Tech,HYPH,NNP,NNP
-,0,0,0,PROPN,PROPN,PUNCT,0,0,said,itcompleted,Inc,NNP,NNP,HYPH
-,0,0,0,PROPN,VERB,PROPN,0,0,itcompleted,the,said,NNP,VBD,NNP
-,0,0,0,VERB,VERB,PROPN,0,0,the,sale,itcompleted,VBD,VBD,NNP
-,0,0,0,VERB,DET,VERB,0,0,sale,of,the,VBD,DT,VBD
-,0,0,0,DET,NOUN,VERB,0,0,of,its,sale,DT,NN,VBD
-,0,0,0,NOUN,ADP,DET,0,0,its,"subsidiary,",of,NN,IN,DT
-,0,0,0,ADP,PRON,NOUN,0,0,"subsidiary,",Neo-Tech,its,IN,PRP$,NN
I-STAT,0,1,0,PRON,NOUN,ADP,0,0,Neo-Tech,"Inc,","subsidiary,",PRP$,NN,IN
-,0,1,0,NOUN,PUNCT,PRON,0,0,"Inc,",to,Neo-Tech,NN,",",PRP$
-,0,0,0,PUNCT,PROPN,NOUN,0,0,to,SeismicHoldings,"Inc,",",",NNP,NN
-,0,1,0,PROPN,PUNCT,PUNCT,0,1,SeismicHoldings,Inc,to,NNP,HYPH,","
I-STAT,0,1,0,PUNCT,PROPN,PROPN,0,0,Inc,and,SeismicHoldings,HYPH,NNP,NNP
-,0,0,0,PROPN,PROPN,PUNCT,0,0,and,Energy,Inc,NNP,NNP,HYPH
B-SELL,0,1,0,PROPN,PUNCT,PROPN,0,0,Energy,Holdings,and,NNP,",",NNP
I-SELL,0,1,0,PUNCT,ADP,PROPN,0,0,Holdings,"Inc,",Energy,",",IN,NNP
-,0,1,0,ADP,PROPN,PUNCT,0,0,"Inc,",of,Holdings,IN,NNP,","
-,0,0,0,PROPN,PROPN,ADP,0,0,of,"Denver,","Inc,",NNP,NNP,IN
-,0,1,0,PROPN,CCONJ,PROPN,0,0,"Denver,",Colo.As,of,NNP,CC,NNP
-,0,1,0,CCONJ,PROPN,PROPN,0,0,Colo.As,part,"Denver,",CC,NNP,NNP
-,0,0,0,PROPN,PROPN,CCONJ,0,0,part,of,Colo.As,NNP,NNPS,CC
-,0,0,0,PROPN,PROPN,PROPN,0,0,of,the,part,NNPS,NNP,NNP
-,0,0,0,PROPN,PUNCT,PROPN,0,0,the,"price,",of,NNP,",",NNPS
-,0,0,0,PUNCT,ADP,PROPN,0,0,"price,",Principal,the,",",IN,NNP
B-STAT,0,1,0,ADP,PROPN,PUNCT,0,0,Principal,Neo-Tech,"price,",IN,NNP,","
I-STAT,0,1,0,PROPN,PUNCT,ADP,0,0,Neo-Tech,received,Principal,NNP,",",IN
-,0,0,0,PUNCT,PROPN,PROPN,0,0,received,notes,Neo-Tech,",",NNP,NNP
-,0,0,0,PROPN,ADP,PUNCT,0,0,notes,andpreferred,received,NNP,IN,","
-,0,0,0,ADP,NOUN,PROPN,0,0,andpreferred,shares,notes,IN,NN,NNP
-,0,0,0,NOUN,ADP,ADP,0,0,shares,of,andpreferred,NN,IN,IN
-,0,0,0,ADP,DET,NOUN,0,0,of,Energy,shares,IN,DT,NN
B-SELL,0,1,0,DET,NOUN,ADP,0,0,Energy,Holdings.,of,DT,NN,IN
-,0,1,0,NOUN,OMEGAPOS,DET,0,0,Holdings.,OMEGA,Energy,NN,OMEGATAG,DT
-,0,1,0,ADV,PUNCT,PHIPOS,0,0,"However,",terms,PHI,RB,",",PHITAG
-,0,0,0,PUNCT,NOUN,ADV,0,0,terms,were,"However,",",",NNS,RB
-,0,0,0,NOUN,AUX,PUNCT,0,0,were,notdisclosed.,terms,NNS,VBD,","
-,0,0,0,AUX,OMEGAPOS,NOUN,0,0,notdisclosed.,OMEGA,were,VBD,OMEGATAG,NNS
